"id;estimated_deliveries_volumes;created_at"
"000e8d9b-aaa6-43f8-ab58-2f9b1a8248e9;[1 - 10];11/12/2019"
"000f1a2b-5e91-417f-bdda-8a4a5ae2793d;[11 - 50];23/05/2020"
"000fc96a-f5e5-4c67-af81-c25ff3f815ed;[1 - 10];07/05/2020"
"0012edb0-9edc-4894-b069-48f84cfa7b83;[11 - 50];05/10/2018"
"0013c4b6-9fef-4aed-a7c4-4c0c916be02f;[1 - 10];08/02/2017"
"00157cb9-8750-4029-92e8-8bbd998b8d88;[51 - 100];06/06/2017"
"0015a4c2-ef71-4cf3-bbb8-26a21fb80540;[51 - 100];30/04/2020"
"0016c4fd-38fb-4fdf-95ad-9f47453a0d13;[11 - 50];17/12/2018"
"0019cbe9-d3b6-4ac2-90de-a913b534ad07;[101  - 250];04/09/2019"
"0019dc3b-c584-4fee-88f5-817fdf9c755d;[1 - 10];29/04/2019"
"001a1fed-3fa6-4d8c-a222-b3b739b32c78;[11 - 50];13/08/2018"
"001a4eb2-5ec8-43d8-86cb-26b9705e76cc;[11 - 50];02/11/2016"
"001b6fcc-01ab-46f0-897b-e561f39e4d1a;[1 - 10];11/03/2019"
"001df9d6-5d14-411f-8efc-b00af8b5b299;[11 - 50];19/04/2020"
"0020a852-01cf-4a04-9802-cf3359a599cf;[101  - 250];04/05/2017"
"00226533-c06b-4a6b-a8b3-ee27f5e48c63;[51 - 100];16/01/2020"
"0028b250-a835-448c-883d-04f1385906be;[1 - 10];14/10/2019"
"0028ea39-ad41-4f18-840b-7855dec15a89;[11 - 50];23/11/2019"
"002b46ef-fbb3-419d-acb3-0f5db4dec30d;[11 - 50];13/04/2016"
"002b6f47-b730-470a-9493-8906c42da274;[1 - 10];02/05/2019"
"0031c000-b3e9-44cc-8d5f-4d5da457b747;[1 - 10];24/03/2020"
"0032774f-6db1-45ab-8237-a5f7d3fb795b;[1 - 10];14/11/2019"
"0035d13c-7d4c-4122-85a7-0ec302546906;[1 - 10];01/10/2019"
"0037f82e-f240-4e73-a7d6-917d7e1e0417;[51 - 100];28/07/2020"
"003906e0-a72c-437b-9f54-d0f02332e678;[11 - 50];31/01/2018"
"0039cf9f-7db5-4451-b122-aeb74e207b59;[51 - 100];19/02/2020"
"003c10a9-80b7-4f2b-96ff-f080a64ef5b4;[1 - 10];09/12/2018"
"003d7fa8-b656-42d4-b909-c8ff77824d89;[11 - 50];18/09/2019"
"0044caf9-0b19-4af2-9d64-74323882fb4f;[1 - 10];02/11/2017"
"0044da52-8775-43ec-8970-d4fb46aa14b1;[1 - 10];24/11/2016"
"00469e00-016f-4d30-bcde-00980c0fe48a;[11 - 50];14/03/2019"
"004e455c-98e2-4865-ac2b-a716467ce1a5;[1 - 10];08/01/2020"
"00570ca6-cd25-4bb4-a1fa-be89095f8445;[1 - 10];20/11/2019"
"0059df57-0622-4fa2-8cae-ae9efa41820d;;24/02/2016"
"005aad46-f908-4140-90ec-0365138c1c3b;[1 - 10];05/02/2020"
"005b67d2-42c0-4872-8c9d-94ac588704f1;[1 - 10];23/04/2020"
"005c84ec-d9d3-47da-8b2f-b280c8492860;[1 - 10];23/04/2020"
"00659c6e-e307-42d8-9948-8392532eeccc;[11 - 50];16/10/2019"
"0066c4cb-715e-4345-a2a4-545720416959;[51 - 100];12/06/2020"
"0069be2d-d622-4f38-a256-2de85d8e76a2;[1 - 10];12/10/2018"
"006baeb4-5f6a-4445-9dbd-b8d0de5e77ac;[11 - 50];10/04/2020"
"006c2eb9-a6c3-47d3-807e-cf7e6644b2d1;[51 - 100];26/09/2016"
"00722a60-6ffa-42b8-b604-eafc525e6fd4;[51 - 100];13/06/2018"
"00729653-d436-40ba-a839-40fa320ae4ba;[1 - 10];19/09/2017"
"007579a2-8278-4fac-b5cc-01bf1572a65c;[51 - 100];27/03/2019"
"007e1575-edc2-4e15-96c2-41be7340cf34;[1 - 10];09/07/2020"
"0082ccad-b1b5-432c-acc8-146d49d54716;[51 - 100];14/08/2017"
"0083f336-f4bc-4746-a969-7ea38f75a481;[11 - 50];30/01/2020"
"0089354e-af3e-4078-9ccd-e34b8f69819a;[51 - 100];12/05/2020"
"008b2796-f12f-405e-b57b-262e3240d647;[11 - 50];27/06/2020"
"008ef0f1-2fe5-48a7-b0c9-1ca59a506b7b;[1 - 10];31/01/2018"
"008f4a6a-c97d-4c9a-b685-21f92d5b32f6;[1 - 10];14/04/2020"
"0092d5f2-d2ae-4a36-b6bf-d4e05fd11a3d;[1 - 10];13/01/2018"
"009a7306-b814-4b89-821c-0964087116b4;[1 - 10];31/12/2019"
"009bdc89-308e-4542-9ca4-0ed32b977834;[11 - 50];02/12/2019"
"009da774-c001-42fe-bcdd-57120eedb9e8;[1 - 10];22/04/2020"
"00a02978-56dc-42ec-9622-41759f4654c8;[11 - 50];08/11/2016"
"00a761a0-68fc-424c-adac-86a3b5205284;[11 - 50];19/07/2018"
"00a7685f-942c-4ab8-8bbb-dcbe20e5afb2;[11 - 50];15/04/2020"
"00a8d09c-b68e-4617-b240-d3de4e973bc1;[1 - 10];30/06/2017"
"00abf96d-a173-4e39-9001-b12167d9933c;[1 - 10];27/06/2020"
"00ada3a8-46e3-4421-aa03-fb2ca87cc1bd;[1 - 10];09/11/2018"
"00b1df8e-abde-45d3-ba42-6d78f6224810;[1 - 10];06/04/2020"
"00b2e325-9f7c-434f-b2a7-d9217e43b746;[1 - 10];14/04/2020"
"00b51918-cf9e-46e6-b6bc-e947e61c2d83;[1 - 10];08/11/2017"
"00b83052-2252-41a2-b923-4e15bc3903fd;[1 - 10];20/04/2020"
"00b9c8f8-7f56-462a-98fc-0f4a61365f09;[101  - 250];07/02/2019"
"00bc669e-73d6-41d9-b4ca-529741addca1;[11 - 50];27/05/2020"
"00c06a3a-7b79-4089-9245-dc3d10201f79;[11 - 50];03/10/2019"
"00c1a944-c570-47e5-8745-4c4e8a90bf35;[11 - 50];11/09/2017"
"00c2e9bf-7bba-4d77-acf4-ae53956592dd;[1 - 10];12/08/2019"
"00c59da1-e3bd-4b31-88a3-40fa8987cdc2;[11 - 50];30/11/2016"
"00c5cd4b-7317-4245-84f3-280d2485995e;[101  - 250];04/06/2017"
"00c63553-153a-4d19-a779-1d535fc2baa9;[51 - 100];06/12/2018"
"00c6a535-f6c6-4fa5-b974-bbb8ade0018f;[11 - 50];27/04/2020"
"00c74359-3751-4576-943c-d2629b86f8e9;[1 - 10];17/04/2020"
"00ca9d5b-b588-41af-a082-894b595e4a09;[11 - 50];08/03/2020"
"00caa234-25bb-4d7a-bf48-189e78badf88;[1 - 10];08/06/2020"
"00d27a04-5888-4040-9dd7-34a1711abcf9;[1 - 10];04/04/2020"
"00d86586-f290-413d-83f3-365f9032af29;[1 - 10];18/06/2020"
"00d9c2cc-aa93-433e-9778-8e4d6c297505;[1 - 10];21/07/2020"
"00db0c4b-328a-41b2-82df-ae4c666ca9f4;[51 - 100];18/06/2017"
"00db7d12-7115-4d2a-9f52-fb4d56b7431d;[51 - 100];22/09/2017"
"00dcd8a4-4ec4-4d58-ab7b-e3c4c9fb8fd1;[11 - 50];27/04/2020"
"00dd8ad8-8a05-4606-acdd-ec2aa238cb1b;[1 - 10];27/06/2018"
"00dea7b7-445d-4bbe-a7e1-682a80b4b1f2;[11 - 50];12/01/2017"
"00e4f3fe-bcb6-4d62-abb1-e56d6a618fd3;[11 - 50];30/06/2020"
"00e6cd53-cfef-41cc-b874-f34f6a29936a;[101  - 250];10/07/2020"
"00e87fb7-d1e4-4f6b-bdac-1cb3ec18e39c;[1 - 10];04/12/2017"
"00eafcee-0ccc-41ae-8eaf-5f5c6e77c903;[101  - 250];20/02/2020"
"00efc6ba-162e-4080-bce9-8e67cf3afa39;[101  - 250];26/06/2020"
"00f15b46-8bb6-4b8a-b3d3-ebbc74f89667;[1 - 10];16/05/2016"
"00f1614c-9b18-4723-bc04-e93424242c74;[11 - 50];26/11/2016"
"00f1a82a-74ab-438a-ac4a-33a8d7e534b8;[1 - 10];06/09/2016"
"00f54550-a50f-4aff-b7bf-f8bb81fee086;[11 - 50];27/03/2017"
"01002575-8838-4e69-baf9-056ab8201b0e;[1 - 10];24/06/2020"
"01033f7d-1cd4-4c60-96e9-837ac514c830;[101  - 250];08/07/2020"
"0108427e-d21f-4110-92d4-26b20acd1bd3;[11 - 50];23/05/2020"
"010bef77-20db-4ec9-b162-02055dc36f4d;[11 - 50];08/02/2019"
"010c1ba1-1a57-4dc7-8864-b1f04d59c61a;[101  - 250];07/05/2020"
"010dac18-a99b-4e3f-8609-318bed3ec1a1;[51 - 100];17/06/2020"
"010f7dd6-49ae-4ced-a63b-0c7261f2359f;[51 - 100];04/04/2018"
"010f96cd-e11f-4bfb-9650-0f3ffa0e877c;[51 - 100];08/05/2020"
"0111997d-3741-4d0d-8cb7-fd17ab14ae2a;[101  - 250];18/05/2020"
"0111ffad-63e3-4edd-8ac9-3827aa81281d;[11 - 50];22/10/2019"
"01124d1e-8723-4f83-9d67-061cb8aa019a;[11 - 50];04/12/2019"
"0115e4c9-9e4d-4c5b-81d0-e3b4b25ae66f;[11 - 50];09/05/2018"
"01174251-ec0d-491e-ae57-1d6aea1c34de;;08/02/2016"
"01199404-f1e5-47e0-91f5-0c4a8858d824;[1 - 10];04/09/2017"
"011c4a1c-5b10-41ac-a709-d1a07eac83d5;[51 - 100];02/06/2020"
"011e43f0-592c-4d7d-90c8-c8bc2535c30c;[1 - 10];28/06/2016"
"011e7d06-5c1b-45dc-9ed4-3c02b6042674;[1 - 10];13/12/2019"
